Country,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Guinea,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,165,54,29,140,120,138,28,52,270,84,52,155,32,54,84,78,110,154,54,125,175,81,108,93,66,87,120,168,192,144,84,52,104,145,116,198,102,0,68,84,48,72,120,20,200,0,120,140,80,20,140,100,220,120,120,80,120,140,120,200,20,0,60,80,120,140,100,120,320,180,120,100,60,100,180,260,80,100,120
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,0,27,58,56,72,0,0,52,27,0,78,0,96,81,28,52,44,22,54,75,75,54,54,93,33,58,0,56,48,24,84,52,26,29,116,66,34,145,0,28,72,48,20,80,0,120,60,100,60,0,140,40,0,60,60,80,60,80,40,80,20,40,100,40,60,40,20,20,80,100,120,40,0,40,120,20,0,100,140
Iran,0,27,29,84,120,92,84,26,27,56,52,93,32,27,112,26,22,66,108,0,75,54,81,31,66,0,30,196,24,72,112,0,52,58,116,0,34,58,102,140,72,48,60,40,100,40,120,140,100,40,80,60,20,120,20,80,40,60,40,80,60,100,80,60,60,100,60,100,100,100,80,180,40,40,180,60,80,20,60
Jordan,0,27,0,56,0,23,28,52,27,0,104,93,0,27,0,26,22,44,54,0,125,27,108,0,0,58,30,28,72,24,28,0,52,0,58,33,34,29,34,28,0,48,20,0,40,40,60,0,20,20,40,0,20,80,80,60,40,20,80,40,40,20,20,20,20,60,40,40,80,40,20,80,0,0,0,40,20,20,80
Kenya,0,0,0,0,48,23,56,104,27,84,0,31,0,0,28,26,22,22,81,50,25,0,54,62,99,29,90,84,72,120,56,104,130,0,29,99,34,58,68,56,24,24,120,60,40,40,120,80,40,80,60,120,60,40,60,120,20,100,120,80,0,80,100,60,0,120,100,100,140,100,60,60,100,0,0,20,40,20,120
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,0,0,58,84,24,0,56,26,0,28,52,31,32,0,28,0,0,22,27,25,25,0,81,62,0,0,0,28,48,24,0,26,0,29,0,0,68,58,68,28,0,48,0,0,0,40,20,40,40,0,0,0,20,120,0,0,40,40,20,20,0,20,20,40,0,40,0,0,20,20,60,40,80,20,20,20,0,20,0
Lebanon,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,22,0,0,0,0,0,27,0,0,0,30,0,0,48,0,0,26,0,0,0,0,0,34,28,0,24,0,40,0,20,0,20,20,0,0,20,0,20,0,20,40,0,0,20,0,0,40,0,0,20,0,40,20,0,20,0,40,40,20,20,20,20,0
Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,20,0,0
Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,25,0,27,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,22,0,0,0,0,27,54,31,33,0,0,0,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
Morocco,33,0,29,56,24,46,28,52,54,56,26,0,0,0,84,52,44,0,81,75,125,0,81,0,33,29,60,0,120,72,0,26,26,87,0,0,68,0,34,84,48,0,0,0,40,60,0,40,0,20,40,80,40,20,0,0,80,0,20,0,0,20,0,60,80,20,20,60,100,60,100,120,0,20,20,100,80,0,60
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,20,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,20,0,0,0,0,0
Mali,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,20,40,20,20,0,20,0,20,40,0,0,20,20,0,0
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,33,0,0,0,0,46,0,26,135,56,78,62,0,27,28,26,44,0,0,25,0,0,27,31,33,58,0,0,96,48,56,52,26,58,0,99,0,0,34,28,48,0,20,0,40,20,80,120,0,20,20,0,60,40,60,20,20,40,0,60,0,40,60,60,40,20,20,0,0,60,40,40,20,0,0,20,0,20,40
Malawi,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,60,20,0,0,0,0,20,0,20,0,0,0,0,20,40,0,0,20,0,0,20,0,0,0,0,0,0,20,60,40,40,0,20,0,0,40,20
Mozambique,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,26,0,22,0,0,0,0,0,0,0,0,0,28,0,0,0,26,52,58,0,0,0,29,0,28,0,0,0,0,40,20,0,20,20,0,0,0,0,0,20,0,20,20,20,0,20,0,20,20,20,0,0,0,20,20,0,0,0,0,0,0,40,0,20
Namibia,0,0,0,0,72,115,0,52,54,0,0,0,0,27,28,26,22,110,0,50,0,0,0,0,0,29,0,56,0,24,0,78,26,29,0,0,0,0,0,56,72,96,20,20,40,0,40,0,0,20,0,60,40,20,40,0,20,20,0,20,20,0,60,60,20,40,20,40,20,0,20,20,0,0,20,20,20,120,20
Niger,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0
Nigeria,33,0,29,28,0,69,28,52,0,28,78,31,0,0,0,26,22,88,0,25,0,108,0,93,33,0,30,28,24,0,28,0,0,0,0,33,0,29,34,28,0,48,40,0,40,0,40,100,20,40,40,0,20,20,0,40,20,40,20,140,0,0,40,40,60,60,20,0,0,0,40,20,0,40,0,0,0,20,60
Oman,33,27,29,56,24,46,56,0,27,112,78,124,32,27,84,26,88,22,0,25,0,27,81,31,99,29,30,84,0,48,0,26,52,29,29,66,68,0,68,56,24,24,40,40,0,20,60,40,80,40,20,60,20,80,20,20,0,80,40,80,0,80,40,0,20,100,0,0,40,80,140,140,40,20,60,0,20,40,40
Gaza Strip/Palestine/West Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0
Qatar,0,27,58,0,48,23,0,0,108,0,0,0,64,27,112,130,22,88,0,25,75,27,27,93,33,58,60,84,24,48,56,26,104,87,29,66,102,29,0,0,0,0,0,40,60,60,60,60,60,0,40,20,20,80,40,20,80,0,80,120,20,40,60,40,0,20,20,40,20,20,80,100,40,40,20,100,0,20,40
Reunion,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,28,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,0,0,0,0,24,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,27,0,33,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,40,20,20,20,0,0,20,0,20,0,0,0,0,0,40
Saudi Arabia,33,0,116,28,0,138,56,130,81,84,390,124,0,0,84,26,88,88,135,75,125,81,378,651,132,29,30,168,24,240,84,182,156,319,725,561,68,261,170,252,96,264,100,120,200,460,620,640,100,100,120,160,120,320,140,140,120,280,440,440,140,80,120,200,60,180,160,140,300,200,460,320,120,120,100,80,100,200,200
Seychelles,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,52,0,0,0,0,0,27,0,31,0,0,0,0,0,48,28,0,0,0,0,0,0,29,0,0,0,0,0,20,0,0,0,20,20,0,20,0,0,0,0,0,0,20,20,0,0,20,0,20,0,20,0,0,0,0,20,0,0,0,0,0,20,20,0
Sudan,33,0,0,28,0,0,28,0,0,0,26,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,34,0,0,0,24,0,0,0,0,20,0,0,40,20,0,0,0,0,0,20,0,0,0,20,0,0,20,0,0,0,0,0,0,20,0,20,0,0,0,20,20,0,0
St Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia,0,0,29,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
South Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,20,20,20,20,0,0,0,0,0
Sao Tome and Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syria,33,0,0,28,24,23,28,26,0,28,26,31,0,0,0,0,66,22,0,25,50,0,54,31,33,0,0,28,24,24,0,0,26,0,29,0,34,0,34,56,24,0,0,20,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,0,20,0,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
Togo,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,0,0,0,0,24,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,30,0,0,24,0,26,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,40,0,0,0
Turkey,33,27,58,336,408,253,280,364,459,84,26,93,0,27,168,390,286,286,216,250,400,162,27,62,33,29,120,280,264,288,252,364,650,203,58,66,68,87,68,476,384,336,200,400,400,240,80,40,60,60,60,380,440,460,240,460,620,120,60,100,80,60,160,520,440,580,460,520,400,100,40,60,60,0,40,520,440,360,240
Tanzania,33,27,58,0,24,46,112,26,54,56,26,31,0,27,56,26,22,44,81,25,0,27,0,31,0,0,0,28,48,216,168,156,104,29,29,0,34,58,0,28,48,96,60,60,20,0,40,80,0,60,20,0,40,260,20,20,60,40,20,100,20,60,80,60,60,80,180,40,20,0,60,40,100,20,40,40,20,120,120
Uganda,0,27,0,0,24,46,0,52,54,0,0,31,32,0,0,0,0,44,0,0,50,0,0,31,33,29,0,0,48,0,56,0,52,0,0,33,0,0,0,28,48,24,0,40,0,20,20,40,0,0,40,20,0,0,40,20,40,0,40,40,0,0,20,20,0,0,100,40,0,0,100,40,20,0,0,0,20,60,20
"Yemen, Democratic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,28,24,0,0,0,0,0,0,0,32,0,0,26,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,891,864,"1,131","1,316",888,690,952,884,891,868,"1,066","2,387",384,837,952,"1,170","1,144","1,122","1,188","1,125",875,594,"1,161","3,007",726,870,"1,380","1,540",720,"1,608",896,910,"1,794","1,015","1,711","3,036",680,"1,044","1,020","1,736",816,"1,032","1,100",900,780,920,"1,900","3,000",760,760,"1,280","1,140",900,"1,140","1,020",900,"1,520","1,020","1,360","3,580",740,600,"1,100","1,180",680,"1,060","1,340",900,"1,100",860,"1,380","3,060",860,"1,040","1,300","1,520",980,"1,060",820
Zambia,0,0,0,56,24,0,0,0,0,0,0,0,32,54,0,0,44,22,0,0,0,0,27,31,0,0,60,0,72,24,28,26,0,0,29,66,34,0,68,28,0,48,20,0,20,20,80,80,60,40,40,0,40,20,0,60,20,0,0,60,0,0,0,20,0,0,80,20,20,40,60,0,0,0,0,0,0,60,60
Zimbabwe,33,27,0,28,24,23,28,52,27,28,52,155,0,27,0,104,110,44,135,25,25,81,162,217,33,29,90,112,72,0,28,182,26,58,116,66,68,29,68,84,24,0,60,60,20,40,120,160,60,40,60,20,20,60,40,40,80,20,80,340,40,40,80,120,40,40,100,60,20,20,140,220,40,40,80,60,60,40,60
NOT STATED,"13,233","10,692","11,919","14,028","13,704","18,515","19,432","15,262","15,741","15,148","13,884","20,429","10,112","9,261","11,508","14,586","12,760","16,654","20,412","14,500","15,650","13,689","13,473","16,244","8,910","9,280","13,410","15,540","15,432","18,456","17,500","14,300","15,600","15,341","14,790","23,001","13,804","9,744","12,954","16,660","19,584","20,280","20,300","17,900","16,680","16,220","16,240","24,380","15,100","11,780","14,780","15,380","16,880","20,060","20,180","19,140","20,160","18,380","18,620","24,980","12,100","11,140","15,380","20,260","20,660","21,680","17,460","8,340","6,240","4,900","4,060","6,920","3,400","2,620","3,340","4,240","7,160","6,180","5,080"
TOTAL ALL COUNTRIES OF MAIN DESTINATION,"111,111","107,784","134,705","164,360","173,616","185,955","201,992","176,046","191,916","176,008","154,778","187,209","104,928","96,498","126,672","162,162","163,526","176,242","198,342","176,325","193,050","176,310","158,220","184,388","106,689","103,965","142,650","162,680","165,120","198,600","207,564","180,622","210,106","181,250","161,269","206,349","118,014","103,820","143,276","182,924","181,920","192,888","232,240","191,360","167,500","188,320","174,740","219,340","129,280","116,500","153,140","183,440","179,600","221,220","205,780","193,640","208,160","190,440","173,440","217,080","121,240","110,820","156,180","185,240","182,900","199,340","237,580","205,460","211,760","194,040","171,440","221,400","128,160","116,920","148,180","199,360","198,460","206,760","233,340"
