Countries,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07
Belize,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda,33,0,0,28,0,69,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,27,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,28,24,0,0,0,0,0,20,40,0,0,20,20,0,20,0,0,20,0,0,0,0,0,20,0,0,40,0,40,0,0,0,0,0,0,0,0,20,20,0
Bhutan,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,0,0,0,0,0,40,0,0,0,0,0,60,0,0,0,0,20,0,20,0,0,0,0,20,0,0,100
Bolivia,0,0,0,28,0,0,0,0,27,0,26,31,64,0,28,0,22,0,0,0,25,0,27,31,0,29,0,0,24,0,0,0,26,0,0,0,0,58,0,28,0,0,20,20,0,20,20,0,0,20,0,0,60,0,0,0,40,20,60,0,20,0,0,40,0,20,40,0,40,20,0,0,0,0,20,0,20,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,22,22,54,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,33,0,0,0,0,48,48,40,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,80,0,0,0,0,0,0,60,20,20,360
Botswana,0,27,0,0,24,46,28,26,27,28,0,0,0,0,0,26,22,22,0,25,25,27,0,31,0,0,0,56,0,48,0,0,0,29,29,33,34,0,0,28,0,72,20,20,0,0,0,0,0,20,0,0,20,40,80,20,20,20,0,0,0,0,20,20,120,60,60,60,20,0,20,40,0,0,20,0,40,0,0
Brazil,66,189,319,168,168,230,280,234,324,84,364,341,160,162,196,208,220,440,216,250,275,297,432,341,33,116,120,364,240,432,224,286,260,232,290,462,34,232,408,196,288,216,320,220,300,340,420,240,160,220,160,300,260,300,300,280,260,180,420,260,120,180,280,320,280,180,400,200,320,260,240,200,40,220,280,200,480,660,0
British Indian Ocean Territory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Brunei Darussalam,0,27,0,56,48,46,56,130,27,28,130,31,96,0,56,78,22,88,81,100,50,0,54,0,33,29,60,0,96,120,140,26,130,0,87,66,102,29,68,28,24,96,80,60,20,40,40,120,60,20,20,40,100,60,40,80,80,40,0,40,40,20,20,80,0,100,80,40,40,20,20,80,60,40,0,20,40,40,80
Bulgaria,0,27,0,28,0,46,28,0,0,0,0,31,0,27,0,26,22,44,54,25,25,0,0,0,0,29,0,0,0,24,0,0,26,0,29,0,0,0,0,0,24,48,20,80,0,20,20,0,20,0,0,40,0,60,40,100,20,0,20,0,60,20,0,60,20,20,60,60,60,0,0,20,0,0,40,0,20,60,220
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Burma (Myanmar),0,0,58,28,0,23,0,0,27,0,0,62,0,27,0,0,44,44,0,0,25,27,0,31,0,29,30,0,24,0,0,26,0,58,29,99,34,58,0,28,24,0,0,20,40,20,80,80,60,40,40,20,60,60,20,40,60,120,60,180,60,80,20,20,100,40,40,60,20,60,240,80,60,180,80,20,40,40,380
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,20,0,0,0,20,0,0,0
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Cambodia,264,216,348,140,72,46,224,130,378,168,286,527,224,243,308,338,264,286,135,125,275,216,405,682,363,145,180,196,264,216,140,182,208,290,348,1056,238,174,238,364,72,456,220,160,160,280,420,1160,320,120,320,280,280,200,180,120,260,200,660,1080,320,180,420,320,240,360,300,240,320,220,440,1180,320,240,480,440,200,340,40
Cameroon,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Canada,1485,945,783,1288,2112,2944,2576,2548,2268,644,676,2139,1280,945,812,1170,2046,2684,2970,2300,1725,945,999,1519,924,899,600,1316,1488,2976,2828,2392,2002,957,754,2013,1122,783,952,1176,1872,2424,3440,2100,980,1100,1020,2200,1340,840,660,1200,1860,3400,3080,2600,1640,940,700,2140,1300,1020,920,1220,1760,2660,3860,2920,1980,800,960,2320,1700,980,1100,1220,1940,3320,0
Cayman Islands,0,27,29,0,0,0,0,26,0,0,0,0,0,0,0,26,22,22,27,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,58,0,28,24,0,0,0,0,0,40,20,0,20,0,0,20,0,0,0,0,0,20,20,0,0,20,0,0,20,0,0,0,20,0,40,0,20,20,0,0,0,0
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Chile,99,135,203,280,192,184,112,156,135,224,390,248,128,108,336,260,220,198,135,250,325,297,243,186,231,174,240,84,240,96,112,130,260,174,319,297,136,203,272,224,168,96,180,120,80,260,300,180,120,220,260,160,140,140,140,100,240,300,420,280,180,180,340,140,200,140,100,180,260,320,340,160,80,160,260,260,160,160,3440
"China, People's Republic of",4818,2943,4205,5320,4344,4347,4172,3692,5076,4816,6968,8184,4672,2133,4004,4264,4312,4334,3375,3400,5525,4590,7155,8525,4488,3538,4050,4564,5328,6096,4004,4498,7254,5336,6931,8217,5236,2146,5372,6916,4944,5568,4460,4420,5820,6000,7780,9580,5540,2720,4840,5680,5440,5960,4180,3940,6180,5540,7140,8880,4580,3660,5480,7020,5100,5440,5520,4220,7660,6360,8320,9980,6060,2900,5240,7960,5860,5940,0
Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,9680
Cocos (Keeling) Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100280
Colombia,0,0,58,28,0,23,28,0,81,0,26,31,0,27,56,26,44,44,27,25,25,27,81,62,33,0,60,28,24,48,56,0,26,145,87,66,68,0,0,0,48,48,80,0,20,40,60,120,0,40,0,20,40,60,60,0,80,40,40,60,20,120,40,20,20,60,100,60,40,40,40,120,80,40,40,0,20,100,100
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Congo,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0
"Congo, the Democratic Republic of the",0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,20
Cook Islands,2376,2295,3132,3836,5376,5612,6244,5616,5724,5180,4394,3689,2432,2295,3472,4108,5698,6028,7047,6050,6025,5292,3591,3689,2475,2407,3270,4424,5232,6144,7672,7410,6682,5916,4234,3927,2890,2552,3910,5124,6384,7224,9380,7520,6540,6420,4960,4140,2460,2580,4320,5780,5700,8580,9200,8120,7820,7060,5440,4900,2900,2400,4440,5020,5720,7300,9080,8980,8720,6880,6080,5300,3140,2640,4840,5800,6440,7860,0
Costa Rica,33,27,0,28,48,0,28,26,0,0,104,62,0,0,28,26,0,22,27,25,0,0,27,0,0,29,0,0,0,0,0,0,0,0,29,33,0,58,0,28,48,0,40,20,60,0,0,40,0,60,20,0,0,20,0,20,40,0,0,100,40,20,20,20,60,0,40,0,0,0,0,20,20,0,140,60,20,40,100
Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia,0,0,29,140,240,506,308,208,216,0,26,0,0,0,84,78,198,330,54,375,175,27,0,62,0,0,30,112,192,456,280,130,156,0,0,33,0,0,68,56,240,288,260,200,80,20,0,0,20,0,20,140,360,640,280,340,320,60,0,60,0,0,0,40,200,600,380,520,260,0,40,20,20,0,40,120,260,600,340
Cuba,0,27,58,0,0,46,28,0,27,28,0,62,0,27,56,52,0,0,0,0,0,27,54,31,0,0,0,28,24,0,28,26,52,0,29,0,0,58,68,28,72,24,20,0,0,0,0,20,0,20,60,40,80,40,0,0,40,0,20,0,0,0,60,40,20,20,40,20,20,0,60,40,0,20,80,40,80,20,20
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20
Cyprus,0,0,0,84,48,46,28,0,81,0,0,0,0,0,28,0,0,44,0,25,75,54,54,0,0,29,0,0,48,72,0,0,26,29,0,66,0,29,0,28,0,0,40,20,0,0,0,0,0,40,0,0,60,80,40,0,0,40,20,20,0,40,0,0,20,100,20,20,20,0,0,20,0,40,0,20,20,20,0
Czech Republic,33,81,0,56,72,207,84,104,54,28,26,93,0,0,28,52,176,66,135,125,75,27,27,93,33,58,0,84,96,216,196,130,26,58,29,33,0,58,0,28,96,168,220,60,40,20,60,20,20,40,20,80,160,160,220,160,40,0,60,120,20,0,40,40,220,240,220,40,140,60,60,140,20,0,20,60,200,280,40
Czechoslovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
Denmark,33,0,0,112,120,276,140,208,135,28,0,31,96,0,112,78,176,132,54,75,75,81,162,31,0,29,0,0,144,408,280,234,52,58,87,33,102,29,0,112,24,240,160,180,100,120,60,80,40,0,60,60,100,280,180,120,120,60,100,60,40,40,20,100,160,200,160,260,100,60,80,120,80,120,40,140,200,260,1940
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,29,0,0,23,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,20,20,0,40,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,0,0,0,0,20,0,0,0,0
Ecuador,33,0,0,28,120,46,28,0,54,28,0,62,0,0,56,26,0,0,54,50,75,54,0,0,33,0,0,84,24,0,56,52,26,0,29,33,34,29,0,28,48,24,20,20,40,40,40,20,0,20,40,20,20,0,80,40,80,60,20,40,0,20,60,60,40,40,40,40,0,20,40,60,20,0,40,40,100,20,0
Egypt,165,189,174,392,216,138,140,78,351,280,156,310,96,108,84,130,154,132,108,100,225,270,297,217,33,58,270,224,144,216,56,52,520,87,290,363,136,0,68,84,0,48,60,40,60,80,40,60,20,40,120,100,160,40,60,60,100,40,200,180,60,40,40,100,120,40,60,60,20,20,120,100,40,100,40,80,40,0,0
El Salvador,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,24,0,0,0,0,20,20,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0
Equatorial Guinea,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
Estonia,0,0,0,28,0,0,28,0,27,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,28,0,48,28,26,52,0,0,0,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,20,40,0,40,0,0,0,0,0,0,0,0,0,20,60,20,0,0,0,0,0,0,0,0,40,0,200
Ethiopia,0,0,0,0,24,23,0,26,0,28,78,0,32,27,0,0,0,0,27,0,25,0,54,0,33,0,0,0,24,24,28,26,26,29,58,33,68,29,34,0,0,0,0,0,40,60,60,40,40,40,0,60,0,20,0,40,20,40,40,20,20,0,20,20,0,0,0,20,20,40,100,100,80,0,20,40,20,40,0
Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,160
Falkland Islands,0,0,29,0,0,46,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,80
Fiji,4455,3861,5626,7308,7800,11132,13972,12974,10800,8876,6032,6510,2752,2673,3640,5798,7018,10076,12798,12725,12475,8667,6345,7316,4455,3277,5070,6412,7416,10368,13160,12142,11362,9019,6003,8283,4624,3451,4386,8484,7728,11064,15040,13200,9460,8600,6920,8500,5680,3220,4580,7320,8460,12520,14160,12540,11440,10840,6820,7140,4900,3240,5640,7580,8700,10720,15720,14660,12340,11560,7860,9340,5980,4000,5740,9800,10180,13360,0
Finland,33,54,29,28,48,92,140,52,27,28,26,31,0,27,28,0,0,110,108,75,25,27,27,0,0,0,60,0,0,0,196,78,0,29,29,99,34,29,34,28,48,144,140,40,0,60,20,80,0,20,0,20,100,140,60,160,60,0,20,60,20,60,0,20,0,100,120,0,80,0,40,20,20,0,40,0,140,60,840
Former Yugoslav Republic of Macedonia (FYROM),0,0,29,28,0,23,56,0,0,0,0,31,32,0,28,0,22,0,27,25,0,0,0,0,0,0,0,0,24,0,28,26,0,0,0,33,0,0,0,0,24,24,0,40,0,20,0,0,0,20,0,40,0,20,60,40,0,0,20,0,20,0,0,20,60,80,40,0,20,20,0,20,0,0,0,0,60,40,20
France,198,513,725,1428,1752,2116,1596,1690,2538,532,468,1054,384,189,420,1014,1628,2024,1296,1225,1975,648,540,868,264,232,870,952,2064,2256,1456,2002,2080,464,464,660,306,203,714,1456,1896,2136,2580,1320,1220,580,480,760,260,300,520,1480,2000,3260,1260,1700,1980,520,240,980,300,240,520,1220,2280,2580,2560,1960,2320,380,600,1020,420,260,560,1480,2220,3260,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,165,162,377,588,312,483,560,468,540,532,260,310,96,189,140,260,286,594,567,350,500,189,297,310,132,261,240,196,312,360,644,442,650,319,348,330,204,232,102,392,480,480,680,420,320,380,380,280,240,260,300,480,600,840,620,660,720,620,440,580,240,220,400,380,540,600,920,520,580,480,500,440,120,220,420,400,520,800,20
French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Gabon,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,28,0,0,0,0,0,0,0,0,0,29,0,28,0,0,0,20,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,0,0,0,0,0,0,0
Gaza Strip/Palestine/West Bank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,40
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,25,0,0,0,31,0,0,0,0,0,24,0,26,0,29,0,0,0,0,0,0,24,24,0,0,40,0,20,20,0,20,0,20,0,0,20,40,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5100
Germany,495,540,580,728,1512,1449,1456,988,1242,644,546,992,384,405,560,936,1276,1430,1620,1100,1225,540,837,1271,429,406,720,924,1584,2160,1568,962,1326,754,696,957,374,290,578,896,1560,1608,1920,1060,960,440,780,1180,520,540,840,980,1300,1740,1540,1300,1660,720,540,1020,440,340,660,1100,1540,1780,1960,1100,1360,780,760,980,240,340,740,840,1460,2200,0
"Germany, Democratic Republic of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
Ghana,0,0,0,0,0,0,28,52,0,28,26,31,0,0,28,0,0,44,27,0,25,27,0,62,0,0,0,28,24,0,0,0,0,0,87,33,34,0,0,28,0,0,0,20,0,20,0,20,60,0,40,60,20,0,20,20,0,0,0,20,20,0,20,20,0,0,20,0,0,0,20,40,60,20,0,0,20,0,0
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,24,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14800
Greece,0,0,145,308,288,460,308,182,432,196,26,62,0,81,56,156,352,330,297,250,225,108,27,0,0,29,30,168,504,504,280,286,468,203,87,0,0,0,0,140,384,456,300,320,260,140,20,60,0,0,100,180,300,520,280,340,280,80,40,40,0,40,40,140,420,260,540,600,340,60,20,20,0,0,100,220,360,560,0
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,40,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0
Guam,0,0,0,28,24,46,28,0,27,56,0,0,32,0,56,26,0,0,27,0,0,27,0,0,0,0,30,0,48,0,0,0,0,0,0,0,0,0,0,0,48,0,80,0,0,20,0,20,60,20,20,20,0,0,0,0,0,0,20,0,0,20,0,20,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,23,0,0,0,0,26,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,24,0,0,26,0,0,29,0,0,0,0,0,0,24,0,0,0,40,0,20,20,0,20,0,20,0,0,20,0,20,20,20,20,40,0,40,0,0,0,0,0,20,0,0,20,20,0,20,0,20,0
Guinea,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,0,0,0,0,0,0,0,0,0,0,0,30,0,24,0,28,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,20,0
Hong Kong (Special Administrative Region),1122,891,1943,1624,1560,1541,1148,1196,1755,2016,2366,2697,1120,810,1624,1404,990,1254,1134,1225,1300,1944,2565,1736,1188,783,1680,1372,1104,1152,1036,1066,1378,1914,2146,2442,1156,812,1598,1372,1776,1368,1140,1100,1340,1580,1920,2720,1300,860,1760,1700,1340,1380,1140,1020,1580,1280,2400,2460,820,820,1980,1460,1420,1140,1140,1380,1720,1620,2280,2220,900,1020,1860,1380,1400,1640,0
Hungary,33,27,29,28,72,138,28,26,54,56,0,31,32,0,0,52,66,88,135,50,75,0,27,31,0,29,0,0,192,96,28,26,104,0,58,66,68,29,0,28,72,144,100,100,20,20,20,40,20,40,40,60,60,120,140,60,20,20,20,80,0,20,20,60,120,60,160,200,40,60,40,80,20,40,60,80,40,360,480
